treat;plot;month;jday;total;auto;hetero;tsoil;tamb;wsc;moist
GT;2;3;65;2.08;0.62;1.46;12.52240684;11.9149181;0.105812612;14.16234407
GT;1;3;65;2.14;0.61;1.53;12.52240684;11.9149181;0.105812612;14.16234407
GT;5;4;116;1.02;0.12;0.9;12.86702569;10.57299123;0.152616898;4.847590278
GT;2;4;116;1.1;0.32;0.78;12.86702569;10.57299123;0.152616898;4.847590278
GT;4;4;116;1.12;0.32;0.8;12.86702569;10.57299123;0.152616898;4.847590278
GT;3;4;116;1.39;0.69;0.7;12.86702569;10.57299123;0.152616898;4.847590278
GT;1;4;116;1.56;0.63;0.93;12.86702569;10.57299123;0.152616898;4.847590278
GT;3;6;165;1.498;0.827;0.671;9.423665741;9.63072636;0.176741667;29.97385231
GT;5;6;165;1.538;1.145;0.393;9.423665741;9.63072636;0.176741667;29.97385231
GT;4;6;165;1.73;1.323;0.407;9.423665741;9.63072636;0.176741667;29.97385231
GT;2;6;165;1.74;1.226;0.514;9.423665741;9.63072636;0.176741667;29.97385231
GT;3;7;210;1.375;0.806;0.569;9.495588486;8.076010789;0.273050179;34.59893772
GT;2;7;210;1.36;0.85;0.51;9.495588486;8.076010789;0.273050179;34.59893772
GT;5;8;238;1.628;1.017;0.611;9.355555332;8.830695679;0.220495968;50.52911268
GT;1;8;238;1.665;1.313;0.352;9.355555332;8.830695679;0.220495968;50.52911268
GT;4;8;238;1.593;1.243;0.35;9.355555332;8.830695679;0.220495968;50.52911268
GT;2;8;238;1.61;0.8;0.81;9.355555332;8.830695679;0.220495968;50.52911268
GT;3;10;282;1.82;1.152;0.668;10.88723096;15.4688172;0.184021953;50.38998499
GT;5;10;282;1.63;1.177;0.453;10.88723096;15.4688172;0.184021953;50.38998499
GT;4;10;282;1.78;1.216;0.564;10.88723096;15.4688172;0.184021953;50.38998499
GT;2;10;282;1.44;0.813;0.627;10.88723096;15.4688172;0.184021953;50.38998499
GT;5;11;315;1.83;0.88;0.95;10.45012616;15.4794537;0.170109491;53.29002662
GT;3;11;315;1.946;1.218;0.728;10.45012616;15.4794537;0.170109491;53.29002662
GT;1;11;315;1.663;0.709;0.954;10.45012616;15.4794537;0.170109491;53.29002662
GT;4;11;315;2.469;1.03;1.439;10.45012616;15.4794537;0.170109491;53.29002662
GT;5;13;386;2.046;0.696;1.35;12.64212074;16.3162052;0.154950045;19.3860905
GT;3;13;386;2.068;0.993;1.075;12.64212074;16.3162052;0.154950045;19.3860905
GT;4;13;386;2.068;1.404;0.664;12.64212074;16.3162052;0.154950045;19.3860905
GT;5;14;422;1.417;0.537;0.88;12.6274256;13.90605407;0.131863343;18.60814286
GT;1;14;422;1.283;0.451;0.832;12.6274256;13.90605407;0.131863343;18.60814286
GT;2;14;422;1.283;0.71;0.573;12.6274256;13.90605407;0.131863343;18.60814286
GT;4;14;422;1.41;0.38;1.03;12.6274256;13.90605407;0.131863343;18.60814286
GT;4;15;453;1.8;0.7543;1.0457;12.35418356;13.09194213;0.175380556;26.3775419
GT;5;15;453;1.08;0.25;0.83;12.35418356;13.09194213;0.175380556;26.3775419
GT;2;15;453;1.3;0.4875;0.8125;12.35418356;13.09194213;0.175380556;26.3775419
GT;1;15;453;1.52;0.667;0.853;12.35418356;13.09194213;0.175380556;26.3775419
GT;3;15;453;1.95;0.975;0.975;12.35418356;13.09194213;0.175380556;26.3775419
RC;1;3;65;1.46;0.47;0.99;12.52240684;11.9149181;0.105812612;14.16234407
RC;2;3;65;1.71;0.677;1.033;12.52240684;11.9149181;0.105812612;14.16234407
RC;5;3;65;1.61;0.51;1.1;12.52240684;11.9149181;0.105812612;14.16234407
RC;5;4;116;1.7;0.9;0.8;12.86702569;10.57299123;0.152616898;4.847590278
RC;4;4;116;1.4;0.7;0.7;12.86702569;10.57299123;0.152616898;4.847590278
RC;2;4;116;1.1;0.5;0.6;12.86702569;10.57299123;0.152616898;4.847590278
RC;3;4;116;1.05;0.25;0.8;12.86702569;10.57299123;0.152616898;4.847590278
RC;2;6;165;1.77;0.39;1.38;9.423665741;9.63072636;0.176741667;29.97385231
RC;4;6;165;1.217;0.417;0.8;9.423665741;9.63072636;0.176741667;29.97385231
RC;5;6;165;1.272;0.542;0.73;9.423665741;9.63072636;0.176741667;29.97385231
RC;3;6;165;1.208;0.308;0.9;9.423665741;9.63072636;0.176741667;29.97385231
RC;2;7;210;1.5;0.7;0.8;9.495588486;8.076010789;0.273050179;34.59893772
RC;3;7;210;0.727;0.471;0.256;9.495588486;8.076010789;0.273050179;34.59893772
RC;5;7;210;1.187;0.591;0.596;9.495588486;8.076010789;0.273050179;34.59893772
RC;1;7;210;1.611;0.696;0.915;9.495588486;8.076010789;0.273050179;34.59893772
RC;4;7;210;0.653;0.213;0.44;9.495588486;8.076010789;0.273050179;34.59893772
RC;5;8;238;1.168;0.803;0.365;9.355555332;8.830695679;0.220495968;50.52911268
RC;4;8;238;1.285;0.665;0.62;9.355555332;8.830695679;0.220495968;50.52911268
RC;3;8;238;1.232;0.539;0.693;9.355555332;8.830695679;0.220495968;50.52911268
RC;2;8;238;1.031;0.38;0.651;9.355555332;8.830695679;0.220495968;50.52911268
RC;2;10;282;2.17;0.78;1.39;10.88723096;15.4688172;0.184021953;50.38998499
RC;3;10;282;2.48;0.9;1.58;10.88723096;15.4688172;0.184021953;50.38998499
RC;4;10;282;2.09;0.99;1.1;10.88723096;15.4688172;0.184021953;50.38998499
RC;3;11;315;1.609;0.79;0.819;10.45012616;15.4794537;0.170109491;53.29002662
RC;4;11;315;1.631;0.414;1.217;10.45012616;15.4794537;0.170109491;53.29002662
RC;5;11;315;1.487;0.353;1.134;10.45012616;15.4794537;0.170109491;53.29002662
RC;1;11;315;1.988;1.0;0.988;10.45012616;15.4794537;0.170109491;53.29002662
RC;5;13;386;1.756;1.096;0.66;12.64212074;16.3162052;0.154950045;19.3860905
RC;2;13;386;1.772;0.977;0.795;12.64212074;16.3162052;0.154950045;19.3860905
RC;4;13;386;1.698;0.568;1.13;12.64212074;16.3162052;0.154950045;19.3860905
RC;4;14;422;1.652;0.874;0.778;12.6274256;13.90605407;0.131863343;18.60814286
RC;3;14;422;2.283;0.901;1.382;12.6274256;13.90605407;0.131863343;18.60814286
RC;1;14;422;1.007;0.385;0.622;12.6274256;13.90605407;0.131863343;18.60814286
RC;5;14;422;1.372;0.514;0.858;12.6274256;13.90605407;0.131863343;18.60814286
RC;4;15;453;1.32;0.628;0.692;12.35418356;13.09194213;0.175380556;26.3775419
RC;1;15;453;1.318;0.358;0.96;12.35418356;13.09194213;0.175380556;26.3775419
RC;5;15;453;1.295;0.773;0.522;12.35418356;13.09194213;0.175380556;26.3775419
UE;3;13;386;1.175;0.091;1.084;12.64212074;16.3162052;0.154950045;19.3860905
UE;2;13;386;1.177;0.287;0.89;12.64212074;16.3162052;0.154950045;19.3860905
UE;3;8;238;1.231;0.62;0.611;9.355555332;8.830695679;0.220495968;50.52911268
UE;2;8;238;1.236;0.526;0.71;9.355555332;8.830695679;0.220495968;50.52911268
UE;1;3;65;1.36;0.54;0.82;12.52240684;11.9149181;0.105812612;14.16234407
UE;4;15;453;1.4;0.613;0.787;12.35418356;13.09194213;0.175380556;26.3775419
UE;2;15;453;1.4;0.648;0.752;12.35418356;13.09194213;0.175380556;26.3775419
UE;2;3;65;1.45;0.499;0.951;12.52240684;11.9149181;0.105812612;14.16234407
UE;1;10;282;1.52;0.756;0.764;10.88723096;15.4688172;0.184021953;50.38998499
UE;1;13;386;1.536;0.49;1.046;12.64212074;16.3162052;0.154950045;19.3860905
UE;1;15;453;1.539;0.603;0.936;12.35418356;13.09194213;0.175380556;26.3775419
UE;3;15;453;1.562;1.069;0.493;12.35418356;13.09194213;0.175380556;26.3775419
UE;5;7;210;1.58;0.95;0.63;9.495588486;8.076010789;0.273050179;34.59893772
UE;5;4;116;1.64;0.77;0.87;12.86702569;10.57299123;0.152616898;4.847590278
UE;3;10;282;1.64;0.697;0.943;10.88723096;15.4688172;0.184021953;50.38998499
UE;2;10;282;1.68;0.51;1.17;10.88723096;15.4688172;0.184021953;50.38998499
UE;4;7;210;1.68;0.855;0.825;9.495588486;8.076010789;0.273050179;34.59893772
UE;5;3;65;1.7;0.672;1.028;12.52240684;11.9149181;0.105812612;14.16234407
UE;5;15;453;1.72;1.191;0.529;12.35418356;13.09194213;0.175380556;26.3775419
UE;2;14;422;1.732;0.64;1.092;12.6274256;13.90605407;0.131863343;18.60814286
UE;1;4;116;1.78;1.18;0.6;12.86702569;10.57299123;0.152616898;4.847590278
UE;3;7;210;1.813;1.003;0.81;9.495588486;8.076010789;0.273050179;34.59893772
UE;1;7;210;1.915;1.061;0.854;9.495588486;8.076010789;0.273050179;34.59893772
UE;1;8;238;1.928;0.745;1.183;9.355555332;8.830695679;0.220495968;50.52911268
UE;3;4;116;1.97;1.47;0.5;12.86702569;10.57299123;0.152616898;4.847590278
UE;5;14;422;1.977;0.676;1.301;12.6274256;13.90605407;0.131863343;18.60814286
UE;4;13;386;1.998;0.93;1.068;12.64212074;16.3162052;0.154950045;19.3860905
UE;3;6;165;2.132;1.668;0.464;9.423665741;9.63072636;0.176741667;29.97385231
UE;2;11;315;2.281;1.208;1.073;10.45012616;15.4794537;0.170109491;53.29002662
UE;4;4;116;2.35;1.46;0.89;12.86702569;10.57299123;0.152616898;4.847590278
UE;4;11;315;2.395;1.262;1.133;10.45012616;15.4794537;0.170109491;53.29002662
